Oncology Biomarker Common Use(s),reached_phase_3_plus,Oncology Biomarker,Protocol/Trial ID,Trial.ID,Trial Phase
Diagnostic; Predictive; Prognostic,0,CXCL17; DYM; OPN1MW; TRIM8,EudraCT Number: 2006-005410-13 FARM7MFFEB GERP ALS NCT00690118 TrialTroveID-091599,91599,Ii
,0,,TrialTroveID-313547 UMIN000016008,313547,Ii
Diagnostic; Predisposing; Prognostic,0,PDSS1; PLG,CA-18-08 ISRCTN13974483 TrialTroveID-464630,464630,I
Diagnostic; Predictive; Predisposing; Prognostic,0,CST3; FEV; TBX1,APOCT-001 EudraCT Number: 2012-002099-15 TrialTroveID-217137,217137,Ii
,0,,TrialTroveID-211260,211260,I
,0,,NCT06005506 NM102_SPATIALS3 sPATIALS3 TrialTroveID-482616,482616,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,ATP2C1; FOXP3; PDSS1,2013P000981 NCT01884571 NIP-ALS-2013 NIPALS2013 TrialTroveID-188964,188964,Ii
,1,,TrialTroveID-513721,513721,Iii
,1,,EAP 2 NCT06069934 PL101-ALS501 TrialTroveID-487837,487837,Iv
Diagnostic; Predictive; Predisposing; Prognostic,1,ATP2C1; FAS,2019P003518D HEALEY ALS Platform Trial - Regimen D NCT04615923 TrialTroveID-388613,388613,Ii/Iii
Diagnostic; Prognostic,1,ATP2C1; NEFL,2019P003518 CCR-20-43 Healey ALS Platform Trial NCT04297683 TrialTroveID-358229,358229,Ii/Iii
Diagnostic; Predictive; Predisposing; Prognostic,0,RIPK1,ChiCTR2200058224 TrialTroveID-430014,430014,Ii
,0,,ChiCTR2100045741 TrialTroveID-402290,402290,Ii
,0,,5027513 NCT05279755 PRO-101 TrialTroveID-427532,427532,I
Diagnostic; Predictive; Prognostic,0,CBS; NEFL,2024-11453 NCT06051123 PROBIO_HA114 TrialTroveID-486787,486787,Ii
,1,,AIHG-2017.004-ALS NCT03324399 TrialTroveID-311856,311856,Iv
,0,,2097152 NCT06066710,487672,I
,0,,TrialTroveID-079599,79599,Ii
,0,,TrialTroveID-079588,79588,I
Diagnostic; Predictive; Predisposing; Prognostic,0,MMP2; SOD1,0903010259 EudraCT Number: 2011-004798-99 NCT01083667 TrialTroveID-123945,123945,Iii
Predictive; Predisposing; Prognostic,0,SOD1,TrialTroveID-087390,87390,Ii
Predictive; Predisposing; Prognostic,0,SOD1,740 TrialTroveID-080417,80417,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,CA1; ERBB2; PAM; PIK3CD; PIK3CG,QRL-101-02 TrialTroveID-501748,501748,I
,0,,EudraCT Number: 2022-002484-30 NCT05667779 QRL-101-01 TrialTroveID-394416,394416,I
Diagnostic; Predictive; Predisposing; Prognostic,0,ATP2C1; FUS; SOD1,ANQUR NCT05633459 QRL-201-01 TrialTroveID-414440,414440,I
Prognostic,0,PPP4C,13023 NCT00600873 TrialTroveID-082481,82481,Iii
Prognostic,0,PPP4C,12316 NCT00596115 TrialTroveID-082468,82468,Iii
,0,,11736 Futility Study NCT00140218 TrialTroveID-078793,78793,Iii
Prognostic,0,BTN1A1,TrialTroveID-121605,121605,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,CARD8; CD200; SOD1,HX-A-2023004 NCT05903690 TrialTroveID-473953,473953,I
Diagnostic; Predictive; Predisposing; Prognostic,0,ACE; DMD; PAX5,A031-02 NCT00952887 TrialTroveID-113404,113404,I
Diagnostic; Predictive; Predisposing; Prognostic,0,ACE; DMD; LEP; PAX5,A031-01 NCT00755638 TrialTroveID-099252,99252,I
Prognostic,0,PPIF,NCT03472950 STUDY00141491 TrialTroveID-320844,320844,Ii
,0,,NCT06169176 RAPA-501-ALS Expanded Access TrialTroveID-495926,495926,Ii
Diagnostic; Predictive; Predisposing; Prognostic,1,ENTPD1; FOXP3; NELFCD; NT5E; TNF,NCT04220190 RAPA-501-ALS TrialTroveID-364979,364979,Ii/Iii
Diagnostic; Predictive; Predisposing; Prognostic,0,DRD2; OPN1MW,Eudract Number: 2011-004482-32 NCT01879241 RAS-ALS TrialTroveID-188612,188612,Ii
Diagnostic; Prognostic,0,NEFL,12312 NCT01786603 TrialTroveID-181697,181697,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,BAX; CDKN2A,11922 NCT01232738 TrialTroveID-137311,137311,Ii
Diagnostic; Predictive; Predisposing; Prognostic,1,ATP2C1; NEFL; PDSS1; TBX1,145660 ALXN1210-ALS-308 CHAMPION-ALS EudraCT Number: 2019-004619-30 JapicCTI-205395 jRCT2080225299 MOH_2020-11-09_009024 NCT04248465 NL72466.056.20 SNCTP000004075 TrialTroveID-365466,365466,Iii
,0,,TrialTroveID-330489,330489,Ii
,0,,TrialTroveID-215210,215210,I
Diagnostic; Predisposing; Prognostic,0,EPHB2,EudraCT Number: 2013-003335-29 NCT02016742 RDC5-1-01 TrialTroveID-199562,199562,I
Diagnostic; Predictive; Predisposing; Prognostic,1,CYP3A4; POU2F1; POU2F2; SLC22A1,COURAGE OLE COURAGE-ALS OLE CY 5032 CY5032 EudraCT Number: 2021-004727-33 NCT05442775 TrialTroveID-436214,436214,Iii
Diagnostic; Prognostic,1,ATP2C1; CXCL17; DYM,CCR-20-145 COURAGE-ALS CY 5031 CY5031 EudraCT Number: 2020-004040-29 NCT04944784 NL77133.041.21 SNCTP000004651 TrialTroveID-369035,369035,Iii
Diagnostic; Predictive; Predisposing; Prognostic,0,ATP2C1; CST3; CYP3A4; FAS; GPANK1; POU2F1; POU2F2; SLC22A1,CY 5022 EudraCT Number: 2018-000586-37 FORTITUDE-ALS NCT03160898 NL65920.041.18 TrialTroveID-296218,296218,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,HPA1S; TNF,EudraCT Number: 2020-005143-23 NCT04654689 TrialTroveID-390990 UCV/2020-2021/018,390990,Ii
,0,,TrialTroveID-107545,107545,I
,0,,BASEC2020-01406 NCT04819438 SNCTP000004338 TrialTroveID-400359 Z7251J01,400359,I
,1,,TrialTroveID-374406,374406,Iv
,1,ITK,TrialTroveID-220907,220907,Iv
,1,,TrialTroveID-171267,171267,Iv
Predictive; Predisposing; Prognostic,1,MTR,TrialTroveID-125254,125254,Iv
Diagnostic; Prognostic,0,CANX; CTSC,TrialTroveID-122005,122005,Other
,1,,CARE NCT00542412 RIL_CA1_401 RP54274/CA1.401 TrialTroveID-078766,78766,Iv
,1,,2020-375 NCT04518540 TrialTroveID-382354,382354,Iv
Diagnostic; Predictive; Prognostic,0,NEFL; OPN1MW,KETO-ALS KETO-ALS V 1.41 NCT04820478 TrialTroveID-400961,400961,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,albumin; BAG1; BAG3; CCL2; CTSC; FUS; GTF2H1; HSF1; HSPB8; IL17A; IL18; KHDRBS1; MAP1LC3A; OPTN; SOD1; SQSTM1; TARDBP; TFEB,Co-ALS EudraCT Number: 2017-004459-21 NCT03693781 TrialTroveID-333946,333946,Ii
,1,,TrialTroveID-133693,133693,Iii
,1,,TrialTroveID-294459,294459,Iv
Diagnostic; Predictive; Predisposing; Prognostic,0,CD200; CRP; HPA1S; TNF,EudraCT Number: 2021-001989-38 IMCRELA TrialTroveID-408677,408677,Ii
Predictive; Predisposing; Prognostic,0,OPN1MW; RHO; RND1; SOD1,00013948 01742 BASEC2018-02001 DRKS00013948 EudraCT Number: 2017-003676-31 NCT03792490 ROCK-ALS SNCTP000003245 TrialTroveID-340147,340147,Ii
,1,,IRCT20190324043105N1 Isfahan ALS Registery NCT03272802 TrialTroveID-308554,308554,Ii/Iii
Diagnostic; Predictive; Prognostic,1,CD200; CST7,3314 NCT02645461 TrialTroveID-270826,270826,Iii
Predictive; Prognostic,0,CST7,CHDR1417 EudraCT Number: 2015-001431-20 NL53042.056.15 NTR6278 TrialTroveID-263701,263701,I
Diagnostic; Predictive; Predisposing; Prognostic,0,ADM; CD34; ITGBL1; TNF,TrialTroveID-205567,205567,Ii
Diagnostic; Predictive; Prognostic,1,CD200,EudraCT Number: 2008-006722-34 SLA_Litio TrialTroveID-110113,110113,Iii
Diagnostic; Predisposing; Prognostic,0,CTSC; SMN1,HP_MECASIN-02 KCT0003792 TrialTroveID-364650,364650,Ii
Diagnostic; Predictive; Prognostic,0,CD200,2016/5-1 KCT0001984 TrialTroveID-288935,288935,Ii
,0,,NCT04454840 PUTH2017118 TrialTroveID-378475,378475,I
Diagnostic; Predisposing; Prognostic,0,CYP1A2,17MO1R-0012 NCT03679975 TrialTroveID-333447,333447,Ii
Diagnostic; Predisposing; Prognostic,0,CYP1A2,17MO1R-0016 NCT03457753 TrialTroveID-320012,320012,Ii
,1,,BHV0223-401 NCT03537807 TrialTroveID-325007,325007,Iii
,0,,BHV0223-103 NCT03520517 TrialTroveID-323953,323953,I
,0,,TrialTroveID-273966,273966,I
,0,,BHV223-101 TrialTroveID-254299,254299,I
,0,,CTR20230637 LLZ-BE-202301 TrialTroveID-461741,461741,I
,0,,BT-XYL-T-BE01 CTR20212516 TrialTroveID-419924,419924,I
,0,,TrialTroveID-294455,294455,Ii
,1,,TrialTroveID-374396,374396,Iv
,1,,TrialTroveID-080389,80389,Iv
,1,,BB-IND 11090 NCT00125203 TrialTroveID-078863,78863,Ii/Iii
,0,,TrialTroveID-115413,115413,Ii
,0,,ABCD DRKS00030948 EUCT Number: 2022-502743-35-00 RituxALS01 TrialTroveID-488284,488284,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,FOXP3; IL2RA; ISG20; MARCHF1; NEFL,EudraCT Number: 2016-002382-62 NCT03456882 RNS60 RNS60-ALS TrialTroveID-297026,297026,Ii
,0,,06.2.1.H6 NCT02988297 TrialTroveID-292121,292121,Ii
,0,,TrialTroveID-423266,423266,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,DPT; FOXP3; MARCHF1; TSPO,NCT02525471 RNS60-01 TrialTroveID-263140,263140,I
Diagnostic; Predictive; Predisposing; Prognostic,0,FEV; LIMS1; SOD1; TBX1; TPO,JMA-IIA00397 jRCT2091220397 ROPALS trial TrialTroveID-339079 UMIN000034954,339079,Iii
Diagnostic; Predisposing; Prognostic,0,ACE; ADAMTS2; CDR1; GABRQ; HSPG2; RUNX1T1,EudraCT Number: 2019-002997-30 NCT04937452 TrialTroveID-407255,407255,Ii
,0,,TrialTroveID-120002,120002,Ii
,0,,TrialTroveID-119994,119994,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,C1QBP; CD8A,APHP190724 EUCT number: 2022-501624-14-00 NCT05860244 TrialTroveID-469676 WALKALS,469676,Ii
,0,,TrialTroveID-507499,507499,I
Diagnostic; Predictive; Predisposing; Prognostic,0,CYP3A4; PRL; REN,EudraCT Number: 2008-001627-65 NL23897.056.08 TrialTroveID-104996,104996,I
Diagnostic; Predictive; Prognostic,0,SFN,NCT00748501 SB-509-0801 SB-509-801 TrialTroveID-080566,80566,Ii
,0,,TrialTroveID-389934,389934,Ii
Prognostic,0,PSPH,TrialTroveID-365692,365692,I
Diagnostic; Predictive; Predisposing; Prognostic,1,androgen receptor; NBN,TrialTroveID-220908,220908,Iv
,0,,TrialTroveID-199178 UMIN000012570,199178,I
,1,,SCOPOLA-D TrialTroveID-193085 UMIN000011494,193085,Iv
Diagnostic; Predictive; Predisposing; Prognostic,0,CC2D1A; NPC1,jRCT2031210612 TrialTroveID-460208,460208,Iii
Diagnostic,0,CTSC,AAAT0610 NCT04998305 TrialTroveID-410978,410978,Iii
Predictive; Predisposing; Prognostic,0,SOD1,EudraCT Number: 2016-002399-28 NCT03359538 RAP-ALS TrialTroveID-313795,313795,Ii
,0,,TrialTroveID-501284,501284,I
Diagnostic; Prognostic,0,SEPTIN9,0015 NCT00107770 TrialTroveID-078808,78808,Iii
,0,,TrialTroveID-507036,507036,I
,0,,PMR 4346-7 TrialTroveID-505764,505764,I
Predisposing,1,PDSS1,A35-011 EudraCT Number:2022-002348-33 NCT05619783 PHOENIX TrialTroveID-448068,448068,Iii
Predisposing,1,PDSS1,A35-006 NCT05286372 TrialTroveID-427740,427740,Iv
Predictive; Predisposing; Prognostic,0,PDSS1; TPT1,A35-005 NCT04987671 TrialTroveID-410485,410485,Iii
Predisposing,1,PDSS1,A35- 004 PHOENIX A35-004 EudraCT Number: 2021-000250-26 NCT05021536 NL78255.100.21 PHOENIX TrialTroveID-401791,401791,Iii
Predisposing,1,PDSS1,A35-003 NCT04516096 TrialTroveID-382605,382605,Ii/Iii
Diagnostic; Predictive; Prognostic,0,CXCL10; FOLH1B; GALE; SRPX,AMX-3500-OLE CENTAUR-OLE NCT03488524 TrialTroveID-321850,321850,Ii
Diagnostic; Predictive; Predisposing; Prognostic,1,ALS2; BMPR2; CHIT1; CNTRL; CRP; CXCL10; EREG; FOLH1B; GALE; HADHA; NEFL; PDSS1; PRAC1; SRPX; TIMM8A; TSPO,AMX-3500 CENTAUR CENTAUR ALS NCT03127514 TrialTroveID-282879,282879,Ii/Iii
,0,,TrialTroveID-090292,90292,I
Diagnostic; Predisposing; Prognostic,0,ACE; NEFL; NPPA,ACTRN12620000236998 SEL002 TrialTroveID-369700 U1111-1248-2724,369700,Ii
Diagnostic; Predictive; Prognostic,0,CBS,ACTRN12617001218381 SEL001 TrialTroveID-314139,314139,Iii
Diagnostic; Prognostic,1,NOLC1; RBL2; TENT4A,04/182-0 NCT00136110 TrialTroveID-079100,79100,Iii
,0,,TrialTroveID-480959,480959,I
Diagnostic; Predictive; Predisposing; Prognostic,0,GHRH; IGF1; insulin,FARM53XBKT NCT00635960 SLA_GH_1 TrialTroveID-086066,86066,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,CYP2C8; DCLK3; MMRN1; TSPO,CBLZ945C12201 EudraCT Number: 2019-000826-22 NCT04066244 TrialTroveID-355943,355943,Ii
Predisposing; Prognostic,0,ADAMTS2,TrialTroveID-315798,315798,Ii
,0,,TrialTroveID-184617,184617,I
Diagnostic; Predisposing; Prognostic,1,CIT; ENPEP,AOM 07225 DOSERAL NCT01160263 P080402,225247,Iii
,0,,NCT05882695 SPG302-ALS-001 TrialTroveID-405962,405962,I
,0,,TrialTroveID-495558,495558,I
,0,,NCT01984814 NGBSI-04,231463,Ii
Diagnostic; Predictive; Predisposing; Prognostic,1,FAS,TrialTroveID-182938,182938,Iv
Prognostic,0,SYN2,TrialTroveID-283348,283348,I
Diagnostic; Predisposing; Prognostic,0,AGO2,ALS-TAL-201-OL ALSTAR OL NCT00982150 TrialTroveID-115972,115972,Ii
,0,,NCT00964730 R09-0539 TAL-TQT-101 TrialTroveID-114416,114416,I
Diagnostic; Predisposing; Prognostic,0,NAT2,NCT00868361 TAL-MB-100 TrialTroveID-106544,106544,I
Prognostic,0,RHBDF2,AL-STAR201 ALS-TAL-201 ALS-TAL-201 (ALSTAR) ALSTAR EudraCT Number: 2008-002062-62 NCT00696332 TrialTroveID-080706,80706,Ii
,0,FOLH1B,TrialTroveID-080705,80705,Ii
,0,,TrialTroveID-405146,405146,I
Diagnostic; Predictive; Predisposing; Prognostic,0,DOCK3; LUM,BASEC2021-01141 NCT04976127 NEON SNCTP000004631 TLN/PD/1 TrialTroveID-387494,387494,I
Diagnostic; Predictive; Predisposing; Prognostic,0,insulin,2000-486 NCT00214110 TrialTroveID-079072,79072,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,ATP2C1; PORCN; UBR5; USO1,NCT01257581 SDALS-001 TrialTroveID-139062,139062,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,FUS; SOD1,201306028 TrialTroveID-260538,260538,Ii
Predisposing; Prognostic,0,FEV,201307022 NCT02166944 TrialTroveID-211170,211170,Iii
,1,,H2020/755094/2017/OLE NCT05753852 TrialTroveID-460915 TUDCA-ALS OLE,460915,Iii
Diagnostic; Predictive; Predisposing; Prognostic,1,CARD8; CD200,EudraCT Number: 2018-002722-22 H2020/755094/2017/IT-01 NCT03800524 NL69414.041.19 TrialTroveID-327506 TUDCA-ALS,327506,Iii
Diagnostic; Predictive; Prognostic,0,CD200,EudraCT Number: 2007-001592-10 NCT00877604 TrialTroveID-107044 TUDCA 20071 TUDCA-ALS TUDCA200701,107044,Ii
,1,,ChiCTR2100054894 TrialTroveID-421812,421812,Iv
,0,,CTCH346 0102 NCT00036413,224775,Ii
,0,,2103570362 NCT04920318 PPA,435690,Other
Diagnostic; Predictive; Predisposing; Prognostic,0,AGER; CCL2; CD40; CRP; CXCL10; CXCL13; CXCL9; MOK; NEFL; TNF,AT-1501-A201 NCT04322149 TrialTroveID-370517,370517,Ii
Diagnostic; Predictive; Prognostic,0,CXCL10; CXCL9,TrialTroveID-321213,321213,I
Diagnostic; Predictive; Predisposing; Prognostic,0,CST3; HGF; NEFL; S100B; VEGFA,EudraCT Number: 2012-005034-11 NCT02269436 NL51030.041.14 sNN0029-004 TrialTroveID-219300,219300,I
,0,,EudraCT Number: 2012-001026-10 NCT01999803 NL45580.041.13 sNN0029-003 TrialTroveID-182767,182767,Iii
Diagnostic; Predictive; Predisposing; Prognostic,0,VEGFA,NCT01384162 sNN0029-002 TrialTroveID-148779,148779,Iii
,1,,TrialTroveID-119257,119257,Ii/Iii
Diagnostic; Predictive; Predisposing; Prognostic,0,VEGFA,NCT00800501 sNN0029-001 TrialTroveID-101532,101532,Iii
Diagnostic; Predictive; Prognostic,0,NEFH; NEFL; PGK1; TTN,15775 301752 CPMS 51286 EudraCT number: 2021-003345-38 ISRCTN45028842 PID 15775 TrialTroveID-422412 TRUST,422412,I
,0,,199/11792 NCT00004771 OSU-92H0325,224330,Ii
,0,,ChiCTR2000039689 TrialTroveID-388768,388768,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,BTN1A1; TNF,ALS-001 NCT00140452 TrialTroveID-078850,78850,Ii
,0,,NCT00231140 THL-ALS01 TrialTroveID-078683,78683,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,FUS; OPN1MW; SOD1,NCT05105958 TIDALS TIDALS_01 TrialTroveID-417476,417476,Ii
Diagnostic; Prognostic,0,ATP2C1; SRCIN1,CY 4021 NCT01089010 TrialTroveID-122346,122346,Ii
,0,,CY 4012 TrialTroveID-118382,118382,I
,0,,CY 4011 TrialTroveID-108007,108007,I
Predisposing,1,PDSS1,20160683 CY 4033 EudraCT Number: 2016-002629-13 F17004 NCT02936635 NL59871.041.17 TrialTroveID-284709 VIGOR-ALS VITALITY-ALS- EXT,284709,Iii
Diagnostic; Predictive; Predisposing; Prognostic,1,C1QTNF3; DSP; GSC; MAT1A; ME3; PCLAF; PDSS1; RPL5; SRCIN1,20150619 CY 4031 EudraCT Number: 2014-005413-23 NCT02496767 NL54137.041.15 REec-2016-2095 TrialTroveID-261308 VITALITY-ALS,261308,Iii
Diagnostic; Predisposing; Prognostic,0,ATP2C1; PDSS1; SRCIN1,BENEFIT-ALS C_FN_Cyto 4026 CY 4026 CY4026 DeNDRoN 098 EudraCT Number: 2012-004987-23 NCT01709149 NL42947.041.12 TrialTroveID-166541 UKCRN ID: 13984,166541,Ii
Diagnostic; Prognostic,0,SRCIN1,CY 4025 NCT01486849 TrialTroveID-155650,155650,Ii
,0,,CY 4013 TrialTroveID-142278,142278,I
Diagnostic; Prognostic,0,RPS25; SRCIN1,CY 4024 NCT01378676 TrialTroveID-139315,139315,Ii
,0,,CTR20233326 DUXACT-2310019 TrialTroveID-496378,496378,I
Diagnostic; Prognostic,0,LIME1; WASPA,CTR20231984 DUXACT-2305053 TrialTroveID-442676,442676,I
Diagnostic; Predictive; Predisposing; Prognostic,0,ATP2C1; CRP; TSPO,2015TCZALS-001 NCT02469896 TCZALS-001 TrialTroveID-221108,221108,Ii
Diagnostic; Predictive; Predisposing; Prognostic,1,CHI3L1; SERPINA1; SPP1,TrialTroveID-501003,501003,Iv
Predictive; Predisposing; Prognostic,1,SOD1,233AS001 NCT04972487 TrialTroveID-409676,409676,Iii
Predictive; Predisposing; Prognostic,1,SOD1,233AS303 ATLAS EudraCT Number: 2020-004590-51 jRCT2071210032 NCT04856982 PMR 4436-1 TrialTroveID-339454,339454,Ii/Iii
,0,,233HV101 NCT03764488 TrialTroveID-338255,338255,I
Diagnostic; Predictive; Predisposing; Prognostic,1,ATP2C1; NEFL; PDSS1; SOD1,233AS102 EudraCT Number: 2016-003225-41 JapicCTI-205111 jRCT2080225019 NCT03070119 TrialTroveID-296928 VALOR OLE,296928,Iii
Diagnostic; Predictive; Predisposing; Prognostic,1,ATP2C1; CNTRL; GZMB; MSC; NEFL; PDSS1; POLR3K; SOD1,233AS101 EudraCT Number: 2015-004098-33 JapicCTI-194777 jRCT2080224702 NCT02623699 Pro00021877 TrialTroveID-269503 VALOR,269503,Iii
Diagnostic; Predictive; Predisposing; Prognostic,0,CNTRL; CSH1; ITPRID2; MYOZ2; RPS25; SLAMF7; SOD1,ISIS 333611 SOD1 ISIS 333611- CS1 NCT01041222 TrialTroveID-105508,105508,I
Predisposing; Prognostic,0,ADAMTS2,AAAF4151 NCT00604591 TrialTroveID-238799,238799,Ii
,0,,TrialTroveID-433813,433813,Ii
Diagnostic; Predisposing; Prognostic,0,PGC,TrialTroveID-411005,411005,I
,0,,CT1SNR1611ALS1 KCT0004911 NCT04326283 TrialTroveID-370642,370642,Iii
,0,,TrialTroveID-192426,192426,Iii
Diagnostic; Prognostic,0,ATP2C1; SRCIN1,ALTA-BOLT NCT02478450 QALS-101 TrialTroveID-197470,197470,Iii
Prognostic,1,ALDH3A2,NCT05597436 SLS-005-EAP TrialTroveID-446326,446326,Iv
Prognostic,0,ALDH3A2,TrialTroveID-444199,444199,I
Predisposing; Prognostic,0,ALDH3A2; ATXN3; PTGIS,ACTRN12621001755820 SLS-005-204 TrialTroveID-426932,426932,Ii
Prognostic,1,ALDH3A2; ATP2C1,2019P003518E HEALEY ALS - Regimen E NCT05136885 TrialTroveID-381547,381547,Ii/Iii
,0,ANKH,20071808 NCT00919555 PNA TrialTroveID-093634,93634,Iii
Diagnostic; Predictive; Predisposing; Prognostic,0,AGO2; DBH; SOD1,1307014081 NCT02716662 TrialTroveID-275427,275427,Ii
,0,,BHV4157-108 TrialTroveID-512076,512076,I
,0,,BHV4157- 103 TrialTroveID-512073,512073,I
,0,,BHV4157-101 TrialTroveID-512071,512071,I
,0,,BHV4157-104 TrialTroveID-512045,512045,I
Diagnostic,0,CTSC,NCT03506425 PALS Pro00092250 TrialTroveID-323085,323085,Iii
Diagnostic; Predictive; Prognostic,0,CST3,ACTRN12620000945921 EudraCT Number: 2020-005018-17 MetFlex MetFlex-003 NCT04788745 NL75615.041.20 TrialTroveID-386811,386811,Ii
,0,,TrialTroveID-490028,490028,I
Diagnostic; Predictive; Predisposing; Prognostic,1,ATP2C1; FUS; IGF2BP3; SOD1,BASEC2023-01222 EudraCT Number: 2020-005522-28 FUS-ALS ION363-CS1 NCT04768972 NL78827.000.22 SNCTP000005657 TrialTroveID-389024,389024,Iii
Prognostic,1,ATP2C1,CEF-ALS -2006 CEF-ALS-2006 NCT00349622 NINDS NINDS CRC TrialTroveID-079062,79062,Iii
Diagnostic; Predictive; Predisposing; Prognostic,1,ARHGEF7; CD40,TrialTroveID-121975,121975,Iv
Diagnostic; Predictive; Prognostic,0,CD200,TrialTroveID-080604,80604,Ii
Diagnostic; Predictive; Prognostic,0,CD200,TrialTroveID-087393,87393,Ii
,1,,22974 NCT02851914 TrialTroveID-283695,283695,Iv
Diagnostic; Predictive; Predisposing; Prognostic,1,CD4; CD8A; NELFCD,9632 NCT02756104 TrialTroveID-278122 VITALS,278122,Iv
,0,,TrialTroveID-119185,119185,Ii
,1,,TrialTroveID-121977,121977,Iii
Diagnostic; Predictive; Predisposing; Prognostic,0,CYP1A2; CYP2B6; NEFL,CTRI/2023/10/058660 NCT05981040 TrialTroveID-480510 ZYIL1.23.003,480510,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,CBS; TBX1,CardinALS EudraCT Number: 2021-006511-29 jRCT2011230040 jRCT2011230043 NCT05349721 NL81540.041.22 PTC857-CNS-001-ALS TrialTroveID-418007,418007,Ii
Diagnostic; Predictive; Prognostic,1,BOLL; CLIC1; CXCL10,TrialTroveID-252287,252287,Iv
Diagnostic; Predictive; Predisposing; Prognostic,1,SOD1; SYNE1,EPO200901 EPOS TRIAL EudraCT Number: 2009-016066-91 TrialTroveID-198292,198292,Iii
Diagnostic; Predictive; Prognostic,0,EPO,TrialTroveID-121485,121485,Ii
Diagnostic; Predictive; Prognostic,0,EPO,TrialTroveID-109807,109807,Ii
Diagnostic; Predictive; Prognostic,0,EPO,TrialTroveID-080342,80342,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,ANG; VEGFA,TrialTroveID-121506,121506,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,ADAMTS2; CBS; CDR1; insulin A1C; NEFL; PSPH; RUNX1T1,21-35516 NCT05184569 TrialTroveID-422602 Veri-T-001,422602,I
Diagnostic; Predictive; Predisposing; Prognostic,1,ATP2C1; CYP1A2; CYP3A4,2019P003518B HEALEY ALS Platform Trial - Regimen B NCT04436510 TrialTroveID-377434,377434,Ii/Iii
Diagnostic; Predictive; Predisposing; Prognostic,0,GRN,NCT06226064 Ph1/VES001 SORT-IN-1 TrialTroveID-501625,501625,I
,0,,TrialTroveID-080132,80132,Ii
Diagnostic; Prognostic,1,GUCY2C,ChiCTR2300075878 TrialTroveID-487477,487477,Iv
,1,,ALSClin-001 NCT00372879 R-06-451 TrialTroveID-079052,79052,Iii
,0,,19-094 MICABO-ALS NCT04244630 TrialTroveID-366405,366405,Ii
,0,,2018613-6392 42595 NCT04140136 NMRR-18-1592-42595 T3-ALS-01 TrialTroveID-332308,332308,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,CTSD; LGALS3; NPC1; NPC2; PICK1,14-CH-0102 140102 NCT02124083 TrialTroveID-232576,232576,Iii
,0,,TrialTroveID-048557,48557,Ii
,0,,TrialTroveID-023032,23032,I
Diagnostic; Prognostic,0,NEFL,EudraCT Number: 2023-506509-21 NCT06215755 TrialTroveID-501026 VGCS-50635-002,501026,I
Predictive; Predisposing; Prognostic,0,SOD1,CHDR2219 EudraCT Number: 2022-002747-22 ISRCTN14792372 TrialTroveID-408472,408472,I
,0,,TrialTroveID-350224,350224,I
Diagnostic; Predictive; Prognostic,0,CST3; NEFH,ALSTEM EudraCT Number: 2018-004171-12 NCT04651855 TrialTroveID-390891,390891,Iii
Predictive,0,KEL,TrialTroveID-216205 UMIN000015054,216205,I
Prognostic,0,ATP2C1; CDR1; RUNX1T1,EudraCT Number: 2022-002267-29 NCT05683860 NL81832.000.22 TrialTroveID-445376 WVE-004-002,445376,Iii
Diagnostic; Predictive; Prognostic,0,AKR1C1; ATP2C1; CDR1; DMD; NEFL; RUNX1T1,EudraCT Number: 2020-005193-94 FOCUS-C9 NCT04931862 NL76122.000.21 TrialTroveID-319020 WVE-004-001,319020,Iii
,1,,97.039P TrialTroveID-088863,88863,Iii
Diagnostic; Prognostic,0,LIMS1,JapicCTI-090746 jRCT2080220719 NCT00886977 TrialTroveID-107667 YAM80-01,107667,Ii
Prognostic,1,ATP2C1,2019P003518A HEALEY ALS Platform Trial - Regimen A NCT04436497 TrialTroveID-377436,377436,Ii/Iii
,0,,TrialTroveID-157730,157730,I
,1,,TrialTroveID-148595,148595,Ii/Iii
